Tienda,Marca,Tipo,Género,Talla,Color,Categoria,precio de venta S/,Fecha,Hora
Lima,Nike,Pro Fierce,Femenino,75F,Rosado,Sujetadores,149.0,17/07/2015,13:06:00
Lima,Nike,Dri-Fit No-Show,Usinex,40-42,Verde,Ropa interior,20.0,19/07/2015,08:25:00
Lima,Asics,WB1820,Femenino,41,Multicolor,Pantalon,89.0,16/07/2015,16:08:00
Lima,Nike,Pro Fierce,Femenino,70B,Negro,Sujetadores,149.0,17/07/2015,10:55:00
Lima,Nike,Free 5.0,Femenino,45,Rosado,Zapatillas,239.0,17/07/2015,15:13:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,38-40,Rosado,Ropa interior,21.0,15/07/2015,10:45:00
Lima,Nike,Free 5.0,Femenino,43,Gris,Zapatillas,239.0,15/07/2015,14:20:00
Lima,Asics,MB1878,Masculino,38,Negro,Pantalon,99.0,15/07/2015,09:07:00
Lima,Asics,WB1820,Femenino,43,Negro,Pantalon,89.0,18/07/2015,15:15:00
Lima,Adidas,Ultra Boost,Femenino,46,Azul,Zapatillas,139.0,15/07/2015,14:27:00
Lima,Nike,Pro Fierce,Femenino,85F,Verde,Sujetadores,149.0,15/07/2015,11:20:00
Lima,Asics,WB1820,Femenino,46,Gris,Pantalon,89.0,16/07/2015,10:19:00
Lima,Asics,WB1820,Femenino,37,Rosado,Pantalon,89.0,16/07/2015,14:02:00
Lima,Nike,Hyper Elite Crew,Usinex,40-42,Rosado,Ropa interior,20.0,16/07/2015,18:10:00
Lima,Asics,Gel Quantics ,Femenino,41,Verde,Zapatillas,120.0,17/07/2015,22:20:00
Lima,Asics,Hera Deux Single Tab,Femenino,36-38,Azul,Ropa interior,12.99,16/07/2015,13:46:00
Lima,Nike,Pro Fierce,Femenino,65F,Azul,Sujetadores,149.0,17/07/2015,21:14:00
Lima,Asics,WB1820,Femenino,43,Amarillo,Pantalon,89.0,18/07/2015,14:17:00
Lima,Nike,Pro Fierce,Femenino,90B,Azul,Sujetadores,149.0,15/07/2015,13:25:00
Lima,Nike,Free 5.0,Femenino,42,Azul,Zapatillas,239.0,18/07/2015,11:17:00
Lima,Asics,Kayano Single Tab,Usinex,36-38,Azul,Ropa interior,24.99,17/07/2015,13:23:00
Lima,Nike,Pro Fierce,Femenino,90F,Azul,Sujetadores,149.0,15/07/2015,13:38:00
Lima,Asics,WB2585,Femenino,36,Negro,Pantalon,99.0,17/07/2015,10:56:00
Lima,Nike,Pro Fierce,Femenino,80B,Multicolor,Sujetadores,149.0,15/07/2015,18:43:00
Lima,Nike,Dri-Fit No-Show,Usinex,40-42,Rosado,Ropa interior,20.0,17/07/2015,16:43:00
Lima,Nike,Dri-Fit No-Show,Usinex,42-44,Negro,Ropa interior,20.0,18/07/2015,10:23:00
Lima,Asics,WB1820,Femenino,37,Multicolor,Pantalon,89.0,19/07/2015,08:05:00
Lima,Asics,WB1820,Femenino,44,Amarillo,Pantalon,89.0,17/07/2015,22:00:00
Lima,Asics,MB1878,Masculino,43,Negro,Pantalon,99.0,15/07/2015,14:24:00
Lima,Asics,WB1820,Femenino,45,Verde,Pantalon,89.0,15/07/2015,14:55:00
Lima,Nike,Dri-Fit No-Show,Usinex,42-44,Rosado,Ropa interior,20.0,15/07/2015,20:13:00
Lima,Nike,Pro Classic,Femenino,90F,Amarillo,Sujetadores,100.0,19/07/2015,23:54:00
Lima,Asics,Hera Deux Single Tab,Femenino,46-48,Negro,Ropa interior,12.99,19/07/2015,21:54:00
Lima,Asics,Nimbus 17,Masculino,39,Multicolor,Zapatillas,128.0,18/07/2015,14:10:00
Lima,Asics,WB1820,Femenino,45,Negro,Pantalon,89.0,19/07/2015,20:31:00
Lima,Asics,Hera Deux Single Tab,Femenino,36-38,Azul,Ropa interior,12.99,16/07/2015,14:07:00
Lima,Adidas,Rocket Boost,Masculino,46,Negro,Zapatillas,110.0,16/07/2015,09:37:00
Lima,Adidas,Ultra Boost,Masculino,41,Azul,Zapatillas,139.0,17/07/2015,13:49:00
Lima,Asics,Hera Deux Single Tab,Femenino,38-40,Negro,Ropa interior,12.99,15/07/2015,13:18:00
Lima,Nike,Pro Indy,Femenino,85D,Rosado,Sujetadores,123.0,15/07/2015,20:26:00
Lima,Asics,WB2585,Femenino,45,Negro,Pantalon,99.0,18/07/2015,14:06:00
Lima,Asics,MB1878,Masculino,45,Negro,Pantalon,99.0,16/07/2015,13:03:00
Lima,Asics,Cummulus 17,Masculino,44,Gris,Zapatillas,159.0,15/07/2015,10:56:00
Lima,Asics,MB1878,Masculino,37,Negro,Pantalon,99.0,15/07/2015,13:48:00
Lima,Asics,WB1820,Femenino,40,Rosado,Pantalon,89.0,16/07/2015,10:07:00
Lima,Asics,WB1820,Femenino,40,Negro,Pantalon,89.0,17/07/2015,18:00:00
Lima,Adidas,Rocket Boost,Masculino,40,Amarillo,Zapatillas,110.0,18/07/2015,13:13:00
Lima,Asics,Cummulus 17,Masculino,38,Multicolor,Zapatillas,159.0,16/07/2015,14:55:00
Lima,Asics,WB1820,Femenino,46,Multicolor,Pantalon,89.0,16/07/2015,15:12:00
Lima,Asics,WB1820,Femenino,44,Negro,Pantalon,89.0,17/07/2015,19:58:00
Lima,Asics,Quick Light Cushion,Usinex,36-38,Rosado,Ropa interior,19.0,16/07/2015,08:57:00
Lima,Nike,Hyper Elite Crew,Usinex,46-48,Rosado,Ropa interior,20.0,18/07/2015,21:10:00
Lima,Asics,WB1820,Femenino,40,Verde,Pantalon,89.0,17/07/2015,23:32:00
Lima,Asics,MB1878,Masculino,41,Negro,Pantalon,99.0,15/07/2015,15:47:00
Lima,Nike,Dri-Fit No-Show,Usinex,42-44,Verde,Ropa interior,20.0,18/07/2015,09:54:00
Lima,Asics,Kayano Single Tab,Usinex,36-38,Verde,Ropa interior,24.99,17/07/2015,12:37:00
Lima,Nike,Hyper Elite Crew,Usinex,42-44,Negro,Ropa interior,20.0,15/07/2015,14:18:00
Lima,Asics,MB1878,Masculino,46,Negro,Pantalon,99.0,15/07/2015,10:06:00
Lima,Adidas,Rocket Boost,Masculino,46,Negro,Zapatillas,110.0,15/07/2015,12:45:00
Lima,Asics,Cummulus 17,Masculino,40,Negro,Zapatillas,159.0,16/07/2015,20:11:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,46-48,Verde,Ropa interior,21.0,16/07/2015,13:46:00
Lima,Asics,WB1820,Femenino,46,Negro,Pantalon,89.0,15/07/2015,14:45:00
Lima,Asics,Kayano Single Tab,Usinex,40-42,Azul,Ropa interior,24.99,18/07/2015,12:10:00
Lima,Asics,MB1878,Masculino,42,Negro,Pantalon,99.0,18/07/2015,13:17:00
Lima,Nike,Hyper Elite Crew,Usinex,36-38,Rosado,Ropa interior,20.0,16/07/2015,14:19:00
Lima,Asics,WB1820,Femenino,42,Negro,Pantalon,89.0,17/07/2015,13:18:00
Lima,Nike,Pro Indy,Femenino,70E,Gris,Sujetadores,123.0,17/07/2015,10:25:00
Lima,Nike,Dri-Fit No-Show,Usinex,46-48,Negro,Ropa interior,20.0,15/07/2015,12:31:00
Lima,Adidas,Boston 5,Masculino,43,Gris,Zapatillas,125.0,17/07/2015,17:27:00
Lima,Asics,Quick Light Cushion,Usinex,36-38,Negro,Ropa interior,19.0,16/07/2015,16:54:00
Lima,Asics,Kayano Single Tab,Usinex,38-40,Azul,Ropa interior,24.99,16/07/2015,18:34:00
Lima,Asics,MB1878,Masculino,41,Negro,Pantalon,99.0,15/07/2015,15:14:00
Lima,Nike,Pro Classic,Femenino,65E,Multicolor,Sujetadores,100.0,16/07/2015,08:45:00
Lima,Asics,MB1878,Masculino,38,Negro,Pantalon,99.0,15/07/2015,13:31:00
Lima,Asics,WB1820,Femenino,39,Amarillo,Pantalon,89.0,17/07/2015,19:48:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,42-44,Rosado,Ropa interior,21.0,17/07/2015,15:51:00
Lima,Asics,Quick Light Cushion,Usinex,46-48,Rosado,Ropa interior,19.0,16/07/2015,20:57:00
Lima,Nike,Hyper Elite Crew,Usinex,40-42,Rosado,Ropa interior,20.0,17/07/2015,19:52:00
Lima,Asics,WB1820,Femenino,42,Multicolor,Pantalon,89.0,17/07/2015,10:41:00
Lima,Nike,Free 5.0,Femenino,38,Rosado,Zapatillas,239.0,16/07/2015,09:49:00
Lima,Adidas,Ultra Boost,Masculino,39,Azul,Zapatillas,139.0,17/07/2015,12:26:00
Lima,Nike,Free 5.0,Masculino,40,Multicolor,Zapatillas,239.0,15/07/2015,13:28:00
Lima,Nike,Dri-Fit No-Show,Usinex,46-48,Rosado,Ropa interior,20.0,16/07/2015,15:45:00
Lima,Nike,Hyper Elite Crew,Usinex,38-40,Rosado,Ropa interior,20.0,16/07/2015,10:45:00
Lima,Asics,WB1820,Femenino,41,Rosado,Pantalon,89.0,16/07/2015,19:35:00
Lima,Asics,Quick Light Cushion,Usinex,36-38,Verde,Ropa interior,19.0,15/07/2015,12:42:00
Lima,Asics,WB2585,Femenino,43,Negro,Pantalon,99.0,18/07/2015,14:09:00
Lima,Asics,WB2585,Femenino,44,Negro,Pantalon,99.0,15/07/2015,12:09:00
Lima,Nike,Air Zoom,Masculino,45,Amarillo,Zapatillas,220.0,17/07/2015,15:39:00
Lima,Asics,WB1820,Femenino,43,Negro,Pantalon,89.0,15/07/2015,11:38:00
Lima,Nike,Pro Fierce,Femenino,70F,Rosado,Sujetadores,149.0,15/07/2015,11:51:00
Lima,Nike,Dri-Fit No-Show,Usinex,42-44,Rosado,Ropa interior,20.0,16/07/2015,12:04:00
Lima,Nike,Hyper Elite Crew,Usinex,46-48,Negro,Ropa interior,20.0,17/07/2015,16:57:00
Lima,Adidas,Rocket Boost,Masculino,43,Negro,Zapatillas,110.0,16/07/2015,11:58:00
Lima,Asics,WB1820,Femenino,46,Azul,Pantalon,89.0,18/07/2015,09:59:00
Lima,Nike,Hyper Elite Crew,Usinex,40-42,Azul,Ropa interior,20.0,15/07/2015,15:11:00
Lima,Asics,MB1878,Masculino,36,Negro,Pantalon,99.0,18/07/2015,13:07:00
Lima,Asics,MB1878,Masculino,37,Negro,Pantalon,99.0,15/07/2015,15:02:00
Lima,Nike,Pro Fierce,Femenino,65E,Multicolor,Sujetadores,149.0,17/07/2015,11:30:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,44-46,Azul,Ropa interior,21.0,17/07/2015,14:14:00
Lima,Asics,WB1820,Femenino,45,Amarillo,Pantalon,89.0,15/07/2015,19:30:00
Lima,Asics,WB1820,Femenino,42,Azul,Pantalon,89.0,15/07/2015,07:32:00
Lima,Nike,Dri-Fit No-Show,Usinex,44-46,Negro,Ropa interior,20.0,19/07/2015,23:42:00
Lima,Asics,MB1878,Masculino,39,Negro,Pantalon,99.0,17/07/2015,14:02:00
Lima,Nike,Pro Fierce,Femenino,90F,Rosado,Sujetadores,149.0,17/07/2015,21:15:00
Lima,Nike,Pro Classic,Femenino,75B,Negro,Sujetadores,100.0,16/07/2015,14:09:00
Lima,Nike,Pro Fierce,Femenino,75F,Azul,Sujetadores,149.0,17/07/2015,11:10:00
Lima,Nike,Hyper Elite Crew,Usinex,38-40,Verde,Ropa interior,20.0,15/07/2015,14:54:00
Lima,Asics,WB1820,Femenino,46,Gris,Pantalon,89.0,17/07/2015,12:48:00
Lima,Asics,Kayano Single Tab,Usinex,46-48,Negro,Ropa interior,24.99,16/07/2015,11:24:00
Lima,Asics,Hera Deux Single Tab,Femenino,38-40,Rosado,Ropa interior,12.99,15/07/2015,15:21:00
Lima,Asics,MB1878,Masculino,37,Negro,Pantalon,99.0,16/07/2015,21:36:00
Lima,Asics,WB1820,Femenino,37,Multicolor,Pantalon,89.0,16/07/2015,10:15:00
Lima,Asics,WB1820,Femenino,45,Amarillo,Pantalon,89.0,15/07/2015,13:01:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,44-46,Rosado,Ropa interior,21.0,16/07/2015,23:49:00
Lima,Asics,MB1878,Masculino,38,Negro,Pantalon,99.0,17/07/2015,11:26:00
Lima,Asics,Nimbus 17,Masculino,41,Negro,Zapatillas,128.0,16/07/2015,08:29:00
Lima,Asics,Kayano Single Tab,Usinex,42-44,Azul,Ropa interior,24.99,16/07/2015,15:12:00
Lima,Asics,WB1820,Femenino,37,Azul,Pantalon,89.0,18/07/2015,14:45:00
Lima,Nike,Pro Fierce,Femenino,80C,Multicolor,Sujetadores,149.0,19/07/2015,14:25:00
Lima,Asics,Cummulus 17,Masculino,38,Gris,Zapatillas,159.0,17/07/2015,16:12:00
Lima,Asics,WB1820,Femenino,41,Amarillo,Pantalon,89.0,18/07/2015,14:10:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,44-46,Negro,Ropa interior,21.0,16/07/2015,11:15:00
Lima,Asics,WB1820,Femenino,44,Azul,Pantalon,89.0,19/07/2015,20:57:00
Lima,Asics,MB1878,Masculino,44,Negro,Pantalon,99.0,15/07/2015,11:01:00
Lima,Asics,MB1878,Masculino,42,Negro,Pantalon,99.0,18/07/2015,15:44:00
Lima,Asics,MB1878,Masculino,38,Negro,Pantalon,99.0,15/07/2015,23:13:00
Lima,Asics,Hera Deux Single Tab,Femenino,38-40,Negro,Ropa interior,12.99,15/07/2015,16:39:00
Lima,Nike,Pro Indy,Femenino,65E,Azul,Sujetadores,123.0,16/07/2015,10:29:00
Lima,Nike,Free 5.0,Femenino,37,Negro,Zapatillas,239.0,15/07/2015,13:19:00
Lima,Nike,Dri-Fit No-Show,Usinex,40-42,Rosado,Ropa interior,20.0,18/07/2015,23:13:00
Lima,Asics,Kayano Single Tab,Usinex,44-46,Verde,Ropa interior,24.99,19/07/2015,10:28:00
Lima,Asics,WB2585,Femenino,39,Negro,Pantalon,99.0,18/07/2015,08:44:00
Lima,Nike,Hyper Elite Crew,Usinex,38-40,Negro,Ropa interior,20.0,17/07/2015,11:51:00
Lima,Asics,WB1820,Femenino,42,Rosado,Pantalon,89.0,17/07/2015,09:54:00
Lima,Asics,WB1820,Femenino,38,Negro,Pantalon,89.0,17/07/2015,11:20:00
Lima,Nike,Pro Hero,Femenino,80D,Multicolor,Sujetadores,99.0,16/07/2015,15:08:00
Lima,Nike,Dri-Fit No-Show,Usinex,42-44,Negro,Ropa interior,20.0,17/07/2015,13:12:00
Lima,Asics,WB1820,Femenino,44,Rosado,Pantalon,89.0,16/07/2015,17:08:00
Lima,Adidas,Boston 5,Femenino,42,Multicolor,Zapatillas,120.0,17/07/2015,14:30:00
Lima,Asics,Kayano Single Tab,Usinex,36-38,Verde,Ropa interior,24.99,15/07/2015,12:42:00
Lima,Asics,WB1820,Femenino,36,Amarillo,Pantalon,89.0,17/07/2015,09:54:00
Lima,Nike,Pro Hero,Femenino,80B,Azul,Sujetadores,99.0,16/07/2015,12:57:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,40-42,Azul,Ropa interior,21.0,16/07/2015,09:52:00
Lima,Adidas,Boston 5,Masculino,41,Azul,Zapatillas,125.0,17/07/2015,14:50:00
Lima,Nike,Free 5.0,Femenino,45,Rosado,Zapatillas,239.0,16/07/2015,15:52:00
Lima,Nike,Hyper Elite Crew,Usinex,38-40,Negro,Ropa interior,20.0,16/07/2015,10:46:00
Lima,Asics,Quick Light Cushion,Usinex,42-44,Verde,Ropa interior,19.0,15/07/2015,17:34:00
Lima,Adidas,Boston 5,Femenino,36,Amarillo,Zapatillas,120.0,17/07/2015,11:35:00
Lima,Nike,Free 5.0,Masculino,36,Multicolor,Zapatillas,239.0,16/07/2015,13:02:00
Lima,Asics,WB1820,Femenino,41,Multicolor,Pantalon,89.0,18/07/2015,14:04:00
Lima,Asics,WB1820,Femenino,38,Multicolor,Pantalon,89.0,16/07/2015,15:14:00
Lima,Nike,Dri-Fit No-Show,Usinex,44-46,Verde,Ropa interior,20.0,17/07/2015,16:59:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,36-38,Azul,Ropa interior,21.0,17/07/2015,14:44:00
Lima,Nike,Pro Fierce,Femenino,75A,Negro,Sujetadores,149.0,17/07/2015,10:31:00
Lima,Adidas,Ultra Boost,Masculino,38,Multicolor,Zapatillas,139.0,18/07/2015,10:18:00
Lima,Asics,Kayano Single Tab,Usinex,38-40,Verde,Ropa interior,24.99,17/07/2015,20:19:00
Lima,Nike,Free 5.0,Femenino,46,Rosado,Zapatillas,239.0,15/07/2015,14:41:00
Lima,Adidas,Boston 5,Masculino,36,Multicolor,Zapatillas,125.0,15/07/2015,13:08:00
Lima,Adidas,Boston 5,Femenino,40,Multicolor,Zapatillas,120.0,18/07/2015,16:56:00
Lima,Asics,Hera Deux Single Tab,Femenino,42-44,Negro,Ropa interior,12.99,15/07/2015,09:11:00
Lima,Asics,WB1820,Femenino,39,Rosado,Pantalon,89.0,19/07/2015,17:19:00
Lima,Nike,Air Zoom,Masculino,42,Azul,Zapatillas,230.0,15/07/2015,13:30:00
Lima,Asics,MB1878,Masculino,43,Negro,Pantalon,99.0,16/07/2015,19:40:00
Lima,Asics,Cummulus 17,Femenino,44,Gris,Zapatillas,159.0,17/07/2015,19:27:00
Lima,Asics,MB1878,Masculino,46,Negro,Pantalon,99.0,15/07/2015,11:25:00
Lima,Asics,Quick Light Cushion,Usinex,40-42,Negro,Ropa interior,19.0,16/07/2015,21:01:00
Provincias,Asics,Quick Light Cushion,Usinex,42-44,Negro,Ropa interior,19.0,21/07/2015,14:30:00
Provincias,Asics,WB1820,Femenino,44,Azul,Pantalon,89.0,22/07/2015,12:03:00
Provincias,Asics,MB1878,Masculino,43,Negro,Pantalon,99.0,19/07/2015,15:03:00
Provincias,Asics,MB1878,Masculino,36,Negro,Pantalon,99.0,22/07/2015,08:38:00
Provincias,Asics,WB1820,Femenino,37,Multicolor,Pantalon,89.0,21/07/2015,15:06:00
Provincias,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,44-46,Verde,Ropa interior,21.0,21/07/2015,23:18:00
Provincias,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,46-48,Rosado,Ropa interior,21.0,21/07/2015,10:39:00
Provincias,Nike,Hyper Elite Crew,Usinex,36-38,Verde,Ropa interior,20.0,20/07/2015,07:46:00
Provincias,Asics,WB1820,Femenino,40,Amarillo,Pantalon,89.0,20/07/2015,10:18:00
Provincias,Asics,Cummulus 17,Masculino,36,Rosado,Zapatillas,159.0,20/07/2015,14:24:00
Provincias,Asics,Hera Deux Single Tab,Femenino,40-42,Verde,Ropa interior,12.99,21/07/2015,23:21:00
Provincias,Asics,WB1820,Femenino,42,Multicolor,Pantalon,89.0,21/07/2015,16:52:00
Provincias,Asics,MB1878,Masculino,46,Negro,Pantalon,99.0,21/07/2015,11:42:00
Provincias,Asics,WB1820,Femenino,39,Negro,Pantalon,89.0,21/07/2015,19:33:00
Provincias,Asics,Cummulus 17,Masculino,37,Negro,Zapatillas,159.0,20/07/2015,16:46:00
Provincias,Asics,Quick Light Cushion,Usinex,38-40,Azul,Ropa interior,19.0,19/07/2015,13:56:00
Provincias,Nike,Dri-Fit No-Show,Usinex,44-46,Negro,Ropa interior,20.0,21/07/2015,11:35:00
Provincias,Nike,Pro Hero,Femenino,80B,Verde,Sujetadores,99.0,21/07/2015,10:30:00
Provincias,Asics,WB1820,Femenino,39,Verde,Pantalon,89.0,19/07/2015,16:39:00
Provincias,Asics,WB1820,Femenino,42,Rosado,Pantalon,89.0,22/07/2015,11:44:00
Provincias,Asics,WB1820,Femenino,41,Verde,Pantalon,89.0,20/07/2015,16:41:00
Provincias,Asics,WB1820,Femenino,45,Gris,Pantalon,89.0,20/07/2015,09:33:00
Provincias,Asics,Kayano Single Tab,Usinex,44-46,Negro,Ropa interior,24.99,22/07/2015,16:58:00
Provincias,Asics,MB1878,Masculino,40,Negro,Pantalon,99.0,20/07/2015,13:10:00
Provincias,Nike,Pro Fierce,Femenino,85A,Amarillo,Sujetadores,149.0,21/07/2015,18:47:00
Provincias,Nike,Pro Hero,Femenino,80F,Multicolor,Sujetadores,99.0,20/07/2015,20:48:00
Provincias,Asics,WB1820,Femenino,41,Verde,Pantalon,89.0,20/07/2015,14:12:00
Provincias,Adidas,Rocket Boost,Masculino,43,Amarillo,Zapatillas,110.0,21/07/2015,09:40:00
Provincias,Asics,MB1878,Masculino,40,Negro,Pantalon,99.0,21/07/2015,20:49:00
Provincias,Asics,MB1878,Masculino,39,Negro,Pantalon,99.0,20/07/2015,14:30:00
Provincias,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,44-46,Negro,Ropa interior,21.0,21/07/2015,09:31:00
Provincias,Asics,MB1878,Masculino,36,Negro,Pantalon,99.0,19/07/2015,15:49:00
Provincias,Nike,Dri-Fit No-Show,Usinex,42-44,Rosado,Ropa interior,20.0,21/07/2015,17:49:00
Provincias,Asics,Kayano Single Tab,Usinex,44-46,Rosado,Ropa interior,24.99,21/07/2015,14:56:00
Provincias,Asics,WB1820,Femenino,45,Azul,Pantalon,89.0,21/07/2015,18:54:00
Provincias,Asics,Nimbus 17,Masculino,43,Multicolor,Zapatillas,128.0,21/07/2015,11:46:00
Provincias,Asics,Kayano Single Tab,Usinex,42-44,Verde,Ropa interior,24.99,22/07/2015,20:44:00
Provincias,Asics,WB1820,Femenino,37,Verde,Pantalon,89.0,22/07/2015,11:07:00
Provincias,Asics,Hera Deux Single Tab,Femenino,44-46,Rosado,Ropa interior,12.99,20/07/2015,15:57:00
Provincias,Asics,Kayano Single Tab,Usinex,40-42,Negro,Ropa interior,24.99,21/07/2015,11:24:00
Provincias,Asics,MB1878,Masculino,36,Negro,Pantalon,99.0,21/07/2015,11:25:00
Provincias,Nike,Pro Fierce,Femenino,70E,Amarillo,Sujetadores,149.0,21/07/2015,20:58:00
Provincias,Asics,MB1878,Masculino,46,Negro,Pantalon,99.0,22/07/2015,13:00:00
Provincias,Adidas,Rocket Boost,Masculino,44,Negro,Zapatillas,110.0,20/07/2015,12:58:00
Provincias,Asics,WB1820,Femenino,37,Rosado,Pantalon,89.0,21/07/2015,22:14:00
Provincias,Asics,WB1820,Femenino,43,Negro,Pantalon,89.0,20/07/2015,15:08:00
Provincias,Asics,WB1820,Femenino,41,Amarillo,Pantalon,89.0,21/07/2015,13:34:00
Provincias,Asics,MB1878,Masculino,46,Negro,Pantalon,99.0,21/07/2015,09:50:00
Provincias,Asics,MB1878,Masculino,36,Negro,Pantalon,99.0,21/07/2015,20:31:00
Provincias,Asics,WB1820,Femenino,39,Multicolor,Pantalon,89.0,20/07/2015,15:26:00
Provincias,Asics,WB2585,Femenino,39,Negro,Pantalon,99.0,21/07/2015,12:30:00
Provincias,Asics,Cummulus 17,Masculino,42,Gris,Zapatillas,159.0,21/07/2015,12:55:00
Provincias,Asics,WB1820,Femenino,36,Negro,Pantalon,89.0,21/07/2015,11:38:00
Provincias,Asics,WB1820,Femenino,41,Rosado,Pantalon,89.0,20/07/2015,14:03:00
Provincias,Adidas,Boston 5,Femenino,41,Multicolor,Zapatillas,120.0,19/07/2015,11:40:00
Provincias,Nike,Dri-Fit No-Show,Usinex,42-44,Rosado,Ropa interior,20.0,22/07/2015,12:02:00
Provincias,Nike,Hyper Elite Crew,Usinex,40-42,Verde,Ropa interior,20.0,22/07/2015,12:57:00
Provincias,Asics,Quick Light Cushion,Usinex,46-48,Verde,Ropa interior,19.0,22/07/2015,19:46:00
Provincias,Asics,MB1878,Masculino,39,Negro,Pantalon,99.0,21/07/2015,09:37:00
Provincias,Nike,Pro Hero,Femenino,75C,Rosado,Sujetadores,99.0,20/07/2015,09:18:00
Provincias,Asics,Kayano Single Tab,Usinex,36-38,Verde,Ropa interior,24.99,19/07/2015,17:12:00
Provincias,Asics,WB1820,Femenino,36,Amarillo,Pantalon,89.0,21/07/2015,17:14:00
Provincias,Asics,WB1820,Femenino,46,Amarillo,Pantalon,89.0,22/07/2015,21:15:00
Provincias,Asics,WB1820,Femenino,39,Negro,Pantalon,89.0,22/07/2015,23:00:00
Provincias,Nike,Pro Fierce,Femenino,75D,Verde,Sujetadores,149.0,21/07/2015,19:29:00
Provincias,Asics,MB1878,Masculino,46,Negro,Pantalon,99.0,19/07/2015,13:25:00
